Day,Temperature
1,23.24709791968078
2,26.49603771031231
3,24.53007850378836
4,29.28755403508098
5,29.83896228868919
6,30.307750061185832
7,31.786683498059944
8,28.815707868305658
9,31.934184801038636
10,29.97719213994829
11,25.970616737232245
12,24.126318768636086
13,24.52921852654078
14,21.23061953633898
15,23.15589261145136
16,14.50867041131098
17,18.643126969781115
18,15.094356750832771
19,12.488384335433512
20,12.858846087579959
21,11.371920097099784
22,8.713439643711752
23,8.475591721163008
24,9.20689417075691
25,11.62523163811178
26,12.901111457164426
27,12.737076386056708
28,14.347287525892568
29,18.20529331628069
30,18.51223874042612
1,22.3417949313653
2,20.918557098817875
3,27.106508248756825
4,26.069007620315926
5,27.625665402145657
6,25.575199620908478
7,31.140667335646285
8,28.43522573505264
9,30.43379992229323
10,29.76263219241873
11,26.803621287121203
12,25.496723170055535
13,25.094923590989538
14,22.844154024215456
15,15.90248018607311
16,17.149663284173506
17,16.32166606743048
18,13.391954014330182
19,12.469827290751255
20,12.509464545886345
21,10.55289583765202
22,10.913713661534102
23,10.591764579836223
24,9.145337149776633
25,11.244049736299107
26,12.244721810107746
27,14.222911624765743
28,15.992587667373895
29,16.907737114326924
30,19.712616748812646
1,20.105517104020993
2,25.3522065927122
3,25.9358771532767
4,26.815232286551964
5,28.437705990455946
6,29.692020524595506
7,29.606602935369445
8,28.927023476227742
9,30.286076464331163
10,28.05228870120191
11,29.93406905698075
12,25.760211137511135
13,21.870414255071633
14,24.14876114937865
15,18.641192166263867
16,20.648015892674437
17,15.486928333372644
18,13.864907406989783
19,14.221210365474505
20,9.962247070429537
21,11.910206512674483
22,9.486689554220678
23,8.319059350504885
24,10.189359542019446
25,9.24926743516167
26,11.421679134899176
27,13.544282510472291
28,16.87265203360269
29,16.830234461280632
30,18.62500256973491
1,21.876476301089546
2,23.807307432525292
3,24.27875524862601
4,28.21761010984357
5,28.194761133137472
6,28.588414422636347
7,29.48328248330612
8,26.967397320787477
9,29.90836771136888
10,32.73175035010439
11,29.946797123364128
12,27.522109663760514
13,38.01841815902067
14,22.26504419116517
15,21.302472042187595
16,18.114483726084764
17,15.81215315163983
18,12.868189948458417
19,10.50884006301502
20,9.044387624933497
21,11.29915941561042
22,9.376656806571912
23,9.615801363693635
24,10.80879604885862
25,11.93435592597301
26,12.390166274004736
27,16.2667971431494
28,17.434525258706966
29,17.88945266016938
30,20.597907550816355
1,20.762269503846586
2,24.812928959682036
3,25.41438503779027
4,25.194069587623208
5,29.080565328553607
6,15.101895074812434
7,26.78782695797445
8,28.68940884312401
9,30.57983072373103
10,28.346593537042516
11,28.335146803070888
12,25.486302985719423
13,22.86796789637299
14,21.574482625966215
15,19.10083587711947
16,19.666811004085567
17,14.334534355093478
18,12.030289824389758
19,11.61743780040985
20,14.649863593337905
21,10.4415965669154
22,8.161386135397658
23,10.820254455017194
24,8.563381288909033
25,12.022903929189615
26,15.489353786613272
27,15.931604131172584
28,16.72432630645368
29,17.629886046481225
30,18.386004385210967
1,21.187364663655725
2,23.24915538945028
3,25.95790618316055
4,28.02984935396885
5,28.582770090908376
6,27.182017055168952
7,29.469728501426363
8,28.789333112346494
9,29.348415430399704
10,28.91843978821738
11,28.443551133444302
12,25.11178893171601
13,23.984781589300148
14,20.971229519522602
15,20.043509757715213
16,18.347753378632927
17,22.543053014274605
18,13.331753719068967
19,13.351996523983281
20,9.052195434578543
21,11.534238924776357
22,10.522366721169446
23,11.736295364071296
24,6.578678307806721
25,10.73553456200147
26,13.400301985043681
27,15.581898120021052
28,15.610998653409588
29,19.55149039891068
30,21.686580601666883
