Day,Temperature
1,24.081502544111153
2,25.51661804909886
3,26.725368926504174
4,29.226718666304176
5,28.64365533608634
6,28.780178071963828
7,28.247585922011865
8,28.58127814720501
9,30.575899495525164
10,27.49997399476232
11,24.785953639818473
12,26.038156671388048
13,22.530299075708815
14,21.67578569889412
15,18.844369803828595
16,17.51146651838617
17,14.572804221094282
18,15.872193311202775
19,11.753477604851676
20,14.526304083413594
21,13.499677601486567
22,10.425346667920865
23,9.121019778669503
24,10.480162986179906
25,10.400807652676367
26,16.500164343370262
27,11.986476713675957
28,15.556968917836366
29,9.868849998403514
30,19.284962450300743
