Day,Temperature
1,22.529415626704523
2,24.877542039493893
3,26.486849203347067
4,26.339639286969764
5,29.357243466566796
6,29.128985945269093
7,28.719685535920245
8,30.899527804721632
9,29.989297177596942
10,27.44906777319303
11,27.735917075004632
12,25.747352107882275
13,24.82350566502772
14,21.497280688154422
15,20.84041914257127
16,17.355954714706105
17,15.085477157993484
18,13.745586474010127
19,13.181312680025124
20,12.067905104082868
21,11.335394454006083
22,10.883546918473016
23,9.462882661860391
24,9.716321276735007
25,11.341707594815704
26,13.880395473363379
27,12.735067128848234
28,15.640337637024896
29,17.729494826410935
30,20.549537005669976
