Day,Temperature
1,0.38138865402227834
2,0.7134604647182801
3,0.9410485285278188
4,0.9202301163599034
5,1.3469794082313955
6,1.3146992515969538
7,1.2568160272054574
8,1.5650891104985623
9,1.4363643830503534
10,1.0771253858186907
11,1.1176915863991395
12,0.836468920650696
13,0.7058186458559331
14,0.23542423061638953
15,0.14253093422896995
16,-0.3502416888993004
17,-0.6713324058622568
18,-0.8608196170880389
19,-0.9406191625794218
20,-1.0980771545222756
21,-1.2016687399668378
22,-1.2655689748373917
23,-1.4664791769095322
24,-1.4306379124514892
25,-1.2007759362027768
26,-0.841754941408942
27,-1.0037271653629318
28,-0.5928640904632002
29,-0.29741568234965365
30,0.1013944104993167
